City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,metlili chaamba,32.2667,3.6333,33.52,24,0,4.63,DZ,1724967984
84,klaksvik,62.2266,-6.589,10.75,90,64,5.1,FO,1724967985
85,utrik,11.2278,169.8474,28.58,77,16,5.96,MH,1724967986
86,thames,-37.1333,175.5333,13.69,76,92,2.5,NZ,1724967987
87,tobruk,32.0836,23.9764,26.8,70,0,5.59,LY,1724967988
88,xining,36.6167,101.7667,17.66,89,98,0.86,CN,1724967989
89,jaisalmer,26.9147,70.9181,26.81,79,64,6.12,IN,1724967992
90,tionk essil,12.7856,-16.5217,24.81,94,99,2.2,SN,1724967994
91,mount pearl,47.5166,-52.7813,11.75,82,75,8.23,CA,1724967995
92,antonio enes,-16.2325,39.9086,22.55,84,48,2.78,MZ,1724967996
93,axim,4.8699,-2.2405,23.11,94,50,3.02,GH,1724967997
94,saint-philippe,-21.3585,55.7679,20.96,82,60,7.12,RE,1724967998
95,tazovsky,67.4667,78.7,6.33,95,97,4.92,RU,1724968001
96,lively,46.4334,-81.1498,21.68,40,0,2.44,CA,1724968002
97,paracale,14.2804,122.7881,26.0,90,71,2.16,PH,1724968003
98,qaqortoq,60.7167,-46.0333,4.85,98,100,1.66,GL,1724968004
99,pionerskiy,54.9508,20.2275,20.91,66,0,4.27,RU,1724968006
100,aasiaat,68.7098,-52.8699,1.19,91,73,2.87,GL,1724968007
101,hovd,48.0056,91.6419,18.08,46,100,2.0,MN,1724968009
102,coari,-4.085,-63.1414,31.11,41,71,1.17,BR,1724968010
103,marsh harbour,26.5412,-77.0636,28.7,74,100,5.8,BS,1724968011
104,weno,7.4515,151.8468,27.97,83,75,0.0,FM,1724968013
105,berdigestyakh,62.0989,126.6992,7.17,59,82,0.86,RU,1724968015
106,menongue,-14.6585,17.691,15.23,17,55,1.15,AO,1724968016
107,colonia menno,-22.3667,-59.8167,31.85,19,4,4.6,PY,1724968017
108,gamba,-2.65,10.0,22.37,94,68,2.42,GA,1724968019
109,mareeba,-17.0,145.4333,16.8,91,25,1.2,AU,1724968020
110,maralal,1.0968,36.698,15.54,77,58,2.9,KE,1724968021
111,hamilton,39.1834,-84.5333,35.98,48,40,1.54,US,1724968022
112,invercargill,-46.4,168.35,8.9,76,46,5.81,NZ,1724968023
113,santa ana,33.7456,-117.8678,29.95,54,0,4.12,US,1724967861
114,bethel,41.3712,-73.414,22.79,76,100,4.12,US,1724967783
115,saint-francois,46.4154,3.9054,22.04,83,0,1.03,FR,1724968026
116,st. john's,47.5649,-52.7093,12.21,82,75,8.23,CA,1724967878
117,hadibu,12.65,54.0333,26.47,81,97,9.91,YE,1724968029
118,olonkinbyen,70.9221,-8.7187,6.3,89,97,2.16,SJ,1724968030
119,udachny,66.4167,112.4,7.7,68,73,1.56,RU,1724968031
120,coaldale,49.7167,-112.6185,24.55,31,20,6.17,CA,1724967953
121,nar'yan-mar,67.6713,53.087,7.0,66,95,6.82,RU,1724968034
122,redencao,-4.2258,-38.7306,22.66,79,19,1.08,BR,1724968035
123,yuzhno-kurilsk,44.0306,145.8556,18.68,99,100,1.95,RU,1724968036
124,bakanas,44.8081,76.2772,18.83,43,1,2.9,KZ,1724968037
125,kamaishi,39.2667,141.8833,21.45,97,100,0.8,JP,1724968039
126,sao gabriel da cachoeira,-0.1303,-67.0892,27.61,65,83,1.35,BR,1724968040
127,ntoum,0.3833,9.7833,23.95,86,100,2.05,GA,1724968041
128,yoichi,43.2039,140.7703,23.56,83,1,1.85,JP,1724968042
129,turiacu,-1.6633,-45.3717,25.63,79,48,2.73,BR,1724968043
